cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1980279769,19.0800,5.7937,85.3197,15.5817,-7.5494147335423E-02
3.4112298420,17.0405,4.8220,85.3197,15.5817,-6.3627297826145E-02
3.6244317071,15.4550,4.4015,85.3197,15.5817,-5.3881662902844E-02
3.8376335723,13.4664,4.2058,85.3197,15.5817,-4.4632079366594E-02
4.0508354374,10.9468,4.0967,85.3197,15.5817,-3.6764755661857E-02
4.2640373025,8.4612,4.0046,85.3197,15.5817,-3.0977173865414E-02
4.4772391676,6.5325,3.8740,85.3197,15.5818,-2.6957544973610E-02
4.6904410328,5.1776,3.6437,85.3197,15.5822,-2.4003406231218E-02
4.9036428979,4.1459,3.2560,85.3197,15.5923,-2.1495954216730E-02
5.1168447630,3.2312,2.7011,85.3197,16.2581,-1.9344114867874E-02
5.3300466281,2.3840,2.0576,85.3198,19.5715,-1.8070830863549E-02
5.5432484933,1.6604,1.4527,85.3591,21.1308,-1.6260698886271E-02
5.7564503584,1.1099,0.9742,88.3691,22.1570,-1.5031184675501E-02
5.9696522235,0.7283,0.6373,151.1060,22.8739,-1.9511121167688E-02
6.1828540887,0.4777,0.4151,486.8948,24.1617,-4.2404377388909E-02
6.3960559538,0.3168,0.2727,839.7840,24.8005,-5.9778041306298E-02
6.6092578189,0.2137,0.1820,995.3686,25.0224,-6.1917532534888E-02
6.8224596840,0.1470,0.1237,1058.3524,25.1091,-5.8042608678686E-02
7.0356615492,0.1032,0.0857,1087.2161,25.1490,-5.2296016873353E-02
7.2488634143,0.0739,0.0606,1102.1641,25.1700,-4.6191282575450E-02
7.4620652794,0.0540,0.0437,1110.7109,25.1821,-4.0404775319828E-02
7.6752671445,0.0401,0.0320,1115.9749,25.1895,-3.5242292932454E-02
7.8884690097,0.0303,0.0239,1119.4053,25.1944,-3.0770992359963E-02
8.1016708748,0.0232,0.0181,1121.7002,25.1976,-2.6944306625734E-02
8.3148727399,0.0181,0.0139,1123.3069,25.1999,-2.3657483615934E-02
8.5280746050,0.0143,0.0109,1124.4558,25.2015,-2.0806777339908E-02
8.7412764702,N/A,N/A,N/A,N/A,N/A
8.9544783353,N/A,N/A,N/A,N/A,N/A
9.1676802004,N/A,N/A,N/A,N/A,N/A
9.3808820655,N/A,N/A,N/A,N/A,N/A
9.5940839307,N/A,N/A,N/A,N/A,N/A
9.8072857958,N/A,N/A,N/A,N/A,N/A
10.0204876609,N/A,N/A,N/A,N/A,N/A
10.2336895260,N/A,N/A,N/A,N/A,N/A
10.4468913912,N/A,N/A,N/A,N/A,N/A
