cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.2197038625,18.0111,20.3802,85.3197,420.9766,-4.3040058371542E-02
2.3676841200,15.3765,16.5181,85.3197,420.9766,-3.6661960461041E-02
2.5156643775,13.6096,14.2156,85.3197,420.9766,-3.0736078808011E-02
2.6636446350,12.3770,12.8588,85.3197,420.9766,-2.5508407420286E-02
2.8116248925,11.1195,11.8053,85.3197,420.9766,-2.1195586977213E-02
2.9596051500,9.3903,10.6181,85.3197,420.9766,-1.7550146635245E-02
3.1075854075,7.1676,9.1740,85.3197,420.9766,-1.4505562978940E-02
3.2555656650,4.9135,7.6063,85.3197,420.9766,-1.2176466202690E-02
3.4035459225,3.1140,6.0517,85.3197,420.9766,-1.0580545089053E-02
3.5515261800,1.9010,4.5685,85.3256,420.9766,-9.5838438430193E-03
3.6995064375,1.1548,3.2450,87.4554,422.3109,-9.0586867580559E-03
3.8474866950,0.7113,2.1880,160.8284,780.3813,-1.5977081811431E-02
3.9954669525,0.4483,1.4303,553.1490,780.7947,-2.6294526362217E-02
4.1434472100,0.2901,0.9263,887.3192,1174.8845,-3.7817257333471E-02
4.2914274675,0.1929,0.6034,1017.8653,1438.1971,-4.0742337820585E-02
4.4394077250,0.1315,0.3988,1069.5464,1441.1086,-3.7847409400081E-02
4.5873879825,0.0918,0.2686,1093.3722,1441.2218,-3.4647299976905E-02
4.7353682400,0.0657,0.1847,1105.8508,1441.2346,-3.1477856493687E-02
4.8833484975,0.0479,0.1297,1113.0803,1441.2373,-2.8314081376320E-02
5.0313287550,0.0355,0.0927,1117.6025,1441.2382,-2.5160428514109E-02
5.1793090125,0.0269,0.0677,1120.5161,1441.2386,-2.2100965405289E-02
5.3272892700,0.0207,0.0502,1122.5153,1441.2388,-1.9248278111072E-02
5.4752695275,0.0161,0.0379,1123.9042,1441.2389,-1.6675952547653E-02
5.6232497850,0.0128,0.0291,1124.9114,1441.2390,-1.4416197367964E-02
5.7712300425,0.0102,0.0226,1125.6481,1441.2390,-1.2457788081713E-02
5.9192103000,0.0083,0.0178,1126.2102,1441.2390,-1.0773598190829E-02
6.0671905575,0.0067,0.0141,1126.6517,1441.2391,-9.3248116542379E-03
6.2151708150,0.0056,0.0114,1126.9760,1441.2391,-8.0774889744597E-03
6.3631510725,0.0046,0.0093,1127.2393,1441.2391,-7.0031260218749E-03
6.5111313300,0.0039,0.0076,1127.4458,1441.2391,-6.0777848878107E-03
6.6591115875,0.0033,0.0063,1127.6064,1441.2391,-5.2814851886891E-03
6.8070918450,0.0028,0.0053,1127.7365,1441.2391,-4.5952521551634E-03
6.9550721025,0.0024,0.0045,1127.8427,1441.2391,-4.0056540616214E-03
7.1030523600,0.0021,0.0038,1127.9411,1441.2391,-3.4982918006378E-03
7.2510326175,0.0018,0.0032,1128.0129,1441.2391,-3.0621693954156E-03
