cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.4087081668,23.8554,9.2360,85.3197,18.2067,-3.7069159699906E-02
2.5692887113,19.7991,8.3009,85.3197,18.2067,-3.0782820923357E-02
2.7298692558,16.5751,7.6697,85.3197,18.2067,-2.5846244548033E-02
2.8904498002,14.3034,7.2555,85.3197,18.2067,-2.1820406436944E-02
3.0510303447,12.5878,6.8868,85.3197,18.2067,-1.8542312441651E-02
3.2116108891,10.9293,6.3836,85.3197,18.2067,-1.5815204968292E-02
3.3721914336,9.0377,5.6323,85.3197,18.2067,-1.3498335882476E-02
3.5327719780,6.9921,4.6704,85.3197,18.2073,-1.1554555370199E-02
3.6933525225,5.0736,3.6729,85.3197,19.5268,-1.0256962328868E-02
3.8539330670,3.4935,2.8127,85.3197,26.0020,-1.0060307706896E-02
4.0145136114,2.3142,2.1666,85.3199,29.1674,-9.3184097040964E-03
4.1750941559,1.4976,1.7218,85.4620,31.0470,-8.6264542778198E-03
4.3356747003,0.9616,1.4224,95.2564,37.8674,-9.1022657779825E-03
4.4962552448,0.6210,1.2088,239.5550,41.8691,-1.5765811092976E-02
4.6568357892,0.4069,1.0350,648.6769,42.9550,-3.0917726980516E-02
4.8174163337,0.2718,0.8731,917.0181,43.4151,-3.7451598138495E-02
4.9779968781,0.1856,0.7131,1025.1036,44.0716,-3.7267243389585E-02
5.1385774226,0.1294,0.5597,1070.9511,45.3709,-3.4890939750554E-02
5.2991579671,0.0922,0.4231,1093.1657,46.9207,-3.1853259126149E-02
5.4597385115,0.0671,0.3109,1105.2479,47.9550,-2.8645483983176E-02
5.6203190560,0.0497,0.2248,1112.4143,48.4633,-2.5535766388744E-02
5.7808996004,0.0374,0.1615,1116.9377,48.7008,-2.2670782758963E-02
5.9414801449,0.0287,0.1162,1119.9395,48.8185,-2.0097921313097E-02
6.1020606893,0.0223,0.0842,1122.0058,48.8816,-1.7805154618835E-02
6.2626412338,0.0176,0.0617,1123.4642,48.9181,-1.5762875539465E-02
6.4232217783,0.0140,0.0457,1124.5396,48.9405,-1.3939653616985E-02
6.5838023227,N/A,N/A,N/A,N/A,N/A
6.7443828672,N/A,N/A,N/A,N/A,N/A
6.9049634116,N/A,N/A,N/A,N/A,N/A
7.0655439561,N/A,N/A,N/A,N/A,N/A
7.2261245005,N/A,N/A,N/A,N/A,N/A
7.3867050450,N/A,N/A,N/A,N/A,N/A
7.5472855894,N/A,N/A,N/A,N/A,N/A
7.7078661339,N/A,N/A,N/A,N/A,N/A
7.8684466784,N/A,N/A,N/A,N/A,N/A
